Sentence,Tags
Albatrosses of the biological family Diomedeidae are large seabirds related to the procellariids storm petrels and diving petrels in the order Procellariiformes the tubenoses,ANIMAL O O O O O O O O O O O O O O O O O O O O O O O
They range widely in the Southern Ocean and the North Pacific,O O O O O O O O O O O
They are absent from the North Atlantic although fossil remains of shorttailed albatross show they once lived there up to the Pleistocene and occasional vagrants are found,O O O O O O O O O O O O ANIMAL O O O O O O O O O O O O O O
Great albatrosses are among the largest of flying birds with wingspans reaching up to 2535 metres 82115 ft and bodies over 1 metre 33 ft in length,O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O
The albatrosses are usually regarded as falling into four genera but disagreement exists over the number of species,O ANIMAL O O O O O O O O O O O O O O O O
Albatrosses are highly efficient in the air using dynamic soaring and slope soaring to cover great distances with little exertion,ANIMAL O O O O O O O O O O O O O O O O O O O
They feed on squid fish and krill by either scavenging surface seizing or diving,O O O O O O O O O O O O O O
Albatrosses are colonial nesting for the most part on remote oceanic islands often with several species nesting together,ANIMAL O O O O O O O O O O O O O O O O O
Pair bonds between males and females form over several years with the use of ritualised dances and last for the life of the pair,O O O O O O O O O O O O O O O O O O O O O O O O
A breeding season can take over a year from laying to fledging with a single egg laid in each breeding attempt,O O O O O O O O O O O O O O O O O O O O O
A Laysan albatross named Wisdom on Midway Island is the oldestknown wild bird in the world she was first banded in 1956 by Chandler Robbins,O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O
Of the 22 species of albatrosses recognised by the IUCN 21 are listed as at some level of concern two species are Critically Endangered seven species are Endangered six species are Vulnerable and six species are Near Threatened,O O O O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Numbers of albatrosses have declined in the past due to harvesting for feathers,O O ANIMAL O O O O O O O O O O
Albatrosses are threatened by introduced species such as rats and feral cats that attack eggs chicks and nesting adults by pollution by a serious decline in fish stocks in many regions largely due to overfishing and by longline fishing,ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Longline fisheries pose the greatest threat as feeding birds are attracted to the bait become hooked on the lines and drown,O O O O O O O O O O O O O O O O O O O O O
Identified stakeholders such as governments conservation organisations and people in the fishing industry are all working toward reducing this phenomenon,O O O O O O O O O O O O O O O O O O O O
The name Albatross is derived from the Arabic alqādūs القادوس or alḡaṭṭās الغطاس a pelican literally the diver which travelled to English via the Portuguese form Alcatraz القطرس gannet which is also the origin of the name of the former prison Alcatraz,O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The Oxford English Dictionary notes that the word Alcatraz was originally applied to the frigatebird the modification to albatross was perhaps influenced by Latin Albus meaning white in contrast to frigatebirds which are black,O O O O O O O O O O O O O O O O O O ANIMAL O O O O O O O O O O O O O O O
They were once commonly known as goonie birds or gooney birds particularly those of the North Pacific,O O O O O O O O O O O O O O O O O
In the Southern Hemisphere the name mollymawk is still well established in some areas which is a corrupted form of mallemugge an old Dutch name for the northern fulmar,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The name Diomedea assigned to the albatrosses by Linnaeus references the mythical metamorphosis of the companions of the Greek warrior Diomedes into birds,O O O O O O ANIMAL O O O O O O O O O O O O O O O O
Finally the name for the order Procellariiformes comes from the Latin word procella meaning a violent wind or a storm,O O O O O O O O O O O O O O O O O O O O
The albatross designation comprises between 13 and 24 species the number is still a matter of some debate with 21 being the most commonly accepted number in four genera,O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O
These genera are the great albatrosses Diomedea the mollymawks Thalassarche the North Pacific albatrosses Phoebastria and the sooty albatrosses or sooties Phoebetria,O O O O O ANIMAL O O O O O O O ANIMAL O O O O ANIMAL O O O
The North Pacific albatrosses are considered to be a sister taxon to the great albatrosses while the sooty albatrosses are considered closer to the mollymawks,O O O ANIMAL O O O O O O O O O O ANIMAL O O O ANIMAL O O O O O O
The taxonomy of the albatross group has been a source of much debate,O O O O ANIMAL O O O O O O O O
The SibleyAhlquist taxonomy places seabirds birds of prey and many others in a greatly enlarged order the Ciconiiformes whereas the ornithological organisations in North America Europe South Africa Australia and New Zealand retain the more traditional order Procellariiformes,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The albatrosses can be separated from the other Procellariiformes both genetically and through morphological characteristics size their legs and the arrangement of their nasal tubes see below Morphology and flight,O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O
