text,label
"Albatrosses, of the biological family Diomedeidae, are large seabirds related to the procellariids, storm petrels, and diving petrels in the order Procellariiformes (the tubenoses). They range widely in the Southern Ocean and the North Pacific. They are absent from the North Atlantic, although fossil remains of short-tailed albatross show they once lived there up to the Pleistocene, and occasional vagrants are found. Great albatrosses are among the largest of flying birds, with wingspans reaching up to 2.5–3.5 metres (8.2–11.5 ft) and bodies over 1 metre (3.3 ft) in length. The albatrosses are usually regarded as falling into four genera, but disagreement exists over the number of species.
Albatrosses are highly efficient in the air, using dynamic soaring and slope soaring to cover great distances with little exertion. They feed on squid, fish, and krill by either scavenging, surface seizing, or diving. Albatrosses are colonial, nesting for the most part on remote oceanic islands, often with several species nesting together. Pair bonds between males and females form over several years, with the use of ""ritualised dances"", and last for the life of the pair. A breeding season can take over a year from laying to fledging, with a single egg laid in each breeding attempt. A Laysan albatross, named Wisdom, on Midway Island is the oldest-known wild bird in the world; she was first banded in 1956 by Chandler Robbins.
Of the 22 species of albatrosses recognised by the IUCN, 21 are listed as at some level of concern; two species are Critically Endangered, seven species are Endangered, six species are Vulnerable, and six species are Near Threatened. Numbers of albatrosses have declined in the past due to harvesting for feathers. Albatrosses are threatened by introduced species, such as rats and feral cats that attack eggs, chicks, and nesting adults; by pollution; by a serious decline in fish stocks in many regions largely due to overfishing; and by longline fishing. Longline fisheries pose the greatest threat, as feeding birds are attracted to the bait, become hooked on the lines, and drown. Identified stakeholders such as governments, conservation organisations, and people in the fishing industry are all working toward reducing this phenomenon.
The name ""Albatross"" is derived from the Arabic al-qādūs القادوس or al-ḡaṭṭās الغطاس (a pelican; literally, ""the diver""), which travelled to English via the Portuguese form Alcatraz القطرس (""gannet""), which is also the origin of the name of the former prison Alcatraz. The Oxford English Dictionary notes that the word Alcatraz was originally applied to the frigatebird; the modification to albatross was perhaps influenced by Latin Albus, meaning ""white"", in contrast to frigatebirds, which are black.
They were once commonly known as goonie birds or gooney birds, particularly those of the North Pacific. In the Southern Hemisphere, the name mollymawk is still well established in some areas, which is a corrupted form of malle-mugge, an old Dutch name for the northern fulmar. The name Diomedea, assigned to the albatrosses by Linnaeus, references the mythical metamorphosis of the companions of the Greek warrior Diomedes into birds. Finally, the name for the order, Procellariiformes, comes from the Latin word procella meaning ""a violent wind"" or ""a storm"".
The ""albatross"" designation comprises between 13 and 24 species (the number is still a matter of some debate, with 21 being the most commonly accepted number) in four genera. These genera are the great albatrosses (Diomedea), the mollymawks (Thalassarche), the North Pacific albatrosses (Phoebastria), and the sooty albatrosses or sooties (Phoebetria). The North Pacific albatrosses are considered to be a sister taxon to the great albatrosses, while the sooty albatrosses are considered closer to the mollymawks.
The taxonomy of the albatross group has been a source of much debate. The Sibley-Ahlquist taxonomy places seabirds, birds of prey, and many others in a greatly enlarged order, the Ciconiiformes, whereas the ornithological organisations in North America, Europe, South Africa, Australia, and New Zealand retain the more traditional order Procellariiformes. The albatrosses can be separated from the other Procellariiformes both genetically and through morphological characteristics, size, their legs, and the arrangement of their nasal tubes (see below: Morphology and flight).",Albatross
"An alligator, or colloquially gator, is a large reptile in the genus Alligator of the family Alligatoridae in the order Crocodilia. The two extant species are the American alligator (A. mississippiensis) and the Chinese alligator (A. sinensis). Additionally, several extinct species of alligator are known from fossil remains. Alligators first appeared during the late Eocene epoch about 37 million years ago.
The term ""alligator"" is likely an anglicized form of el lagarto, Spanish for ""the lizard"", which early Spanish explorers and settlers in Florida called the alligator. Early English spellings of the name included allagarta and alagarto.
Alligators and caimans split in North America during the early Tertiary or late Cretaceous (about 53 million to 65 million years ago). The Chinese alligator split from the American alligator about 33 million years ago and probably descended from a lineage that crossed the Bering land bridge during the Neogene. The modern American alligator is well represented in the fossil record of the Pleistocene. The alligator's full mitochondrial genome was sequenced in the 1990s. The full genome, published in 2014, suggests that the alligator evolved much more slowly than mammals and birds.
The genus Alligator belongs to the subfamily Alligatorinae, which is the sister taxon to Caimaninae (the caimans). Together, these two subfamilies form the family Alligatoridae. The cladogram below shows the phylogeny of alligators.
Alligator hailensis
Alligator mcgrewi
Alligator mefferdi",Alligator
"The alpaca (Lama pacos) is a species of South American camelid mammal. Traditionally, alpacas were kept in herds that grazed on the level heights of the Andes of Southern Peru, Western Bolivia, Ecuador, and Northern Chile. More recently, alpacas may be found on farms and ranches worldwide, with thousands of animals born and raised annually. Alpacas are especially popular in North America, Europe, and Australia.
There are two modern breeds of alpaca, separated based on their respective region of endemism and fiber (wool) type: the Suri alpaca and the Huacaya alpaca. Both breeds produce a highly valued fiber, with Suri alpaca's fiber growing in straight ""locks,"" while Huacaya fiber has a ""crimped,"" wavy texture and grows in bundles. These breeds' fibers are used for making knitted and woven items, similar to sheep's wool.
Alpacas are visually and genetically similar to, and often confused with a relative species, the llamas; however, alpacas are visibly shorter and predominantly bred for their wool, while llamas have long been more highly prized as livestock guardians (in place of dogs), and as a pack animal (beast-of-burden), owing to their nimble mountain-climbing abilities. Nonetheless, all four South American camelids are closely related and can successfully crossbreed. Both the alpaca and the llama are believed to have been domesticated and selectively bred from their wild counterparts — the smaller, fine-haired vicuña and the larger, stronger guanaco, respectively — at least 5,000 to 6,000 years ago.
Alpacas communicate through body language, spitting to show dominance when distressed, fearful, or agitated. Male alpacas are more aggressive than females. In some cases, alpha males will immobilize the head and neck of a weaker or challenging male to show their strength and dominance.
In the textile industry, ""alpaca"" primarily refers to the hair of Peruvian alpacas. More broadly, it refers to a style of fabric originally made from alpaca hair, such as mohair, Icelandic sheep wool, or even high-quality wool from other breeds of sheep. In trade, distinctions are made between alpacas and the several styles of mohair and luster.
The relationship between alpacas and vicuñas was disputed for many years. In the 18th and 19th centuries, the four South American lamoid species were assigned scientific names. At that time, the alpaca was assumed to be descended from the llama, ignoring similarities in size, fleece, and dentition between the alpaca and the vicuña. Classification was complicated by the fact that all four species of South American camelid can interbreed and produce fertile offspring. The advent of DNA technology made a more accurate classification possible.
In 2001, the alpaca genus classification changed from Lama pacos to Vicugna pacos, following the presentation of a paper on work by Miranda Kadwell et al. on alpaca DNA to the Royal Society showing the alpaca is descended from the vicuña, not the guanaco.",Alpaca
"Anteaters are the four extant mammal species in the suborder Vermilingua (meaning ""worm tongue""), commonly known for eating ants and termites. The individual species have other names in English and other languages. Together with sloths, they are within the order Pilosa. The name ""anteater"" is also commonly applied to the aardvark, numbat, echidnas, and pangolins, although they are not closely related to them.
Extant species are the giant anteater Myrmecophaga tridactyla, about 1.8 m (5 ft 11 in) long including the tail; the silky anteater Cyclopes didactylus, about 35 cm (14 in) long; the southern tamandua or collared anteater Tamandua tetradactyla, about 1.2 m (3 ft 11 in) long; and the northern tamandua Tamandua mexicana of similar dimensions.
The name anteater refers to the species' diet, which consists mainly of ants and termites. Anteater has also been used as a common name for a number of animals that are not in Vermilingua, including the echidnas, numbat, pangolins, and aardvark. Anteaters are also known as antbears, although this is more commonly used as a name for the aardvark. The word tamandua comes from Portuguese, which itself borrowed it from the Tupí tamanduá, meaning ""ant hunter"". In Portuguese, tamanduá is used to refer to all anteaters; in Spanish, only the two species in the genus Tamandua are known by this name, with the giant anteater and silky anteater being called oso hormiguero and cíclope, respectively. All four species are also known by a number of indigenous names.
Anteaters are part of the Xenarthra superorder, a once diverse group of mammals that occupied South America while it was geographically isolated from the invasion of animals from North America, with the other two remaining animals in the family being the sloths and the armadillos.
At one time, anteaters were assumed to be related to aardvarks and pangolins because of their physical similarities to those animals, but these similarities have since been determined to be not a sign of a common ancestor, but of convergent evolution. All have evolved powerful digging forearms, long tongues, and toothless, tube-like snouts to subsist by raiding termite mounds.
The anteaters are more closely related to the sloths than they are to any other group of mammals. Their next closest relations are armadillos. There are four extant species in three genera. There are several extinct genera as well.
Suborder Vermilingua (anteaters)",Anteater
"The term antelope refers to numerous extant or recently extinct species of the ruminant artiodactyl family Bovidae that are indigenous to most of Africa, India, the Middle East, Central Asia, and a small area of Eastern Europe. Antelopes do not form a monophyletic group, as some antelopes are more closely related to other bovid groups, such as bovines, goats, and sheep, than to other antelopes.
A better definition, also known as the ""true antelopes"", includes only the genera Gazella, Nanger, Eudorcas, and Antilope. One North American mammal, the pronghorn or ""pronghorn antelope"", is colloquially referred to as the ""American antelope"", despite the fact that it belongs to a completely different family (Antilocapridae) than the true Old-World antelopes; pronghorn are the sole extant member of an extinct prehistoric lineage that once included many unique species.
Although antelope are sometimes referred to, and easily misidentified as, ""deer"" (cervids), true deer are only distant relatives of antelopes. While antelope are found in abundance in Africa, only one deer species is found on the continent—the Barbary red deer of Northern Africa. By comparison, numerous deer species are usually found in regions of the world with fewer or no antelope species present, such as throughout Southeast Asia, Europe and all of the Americas. This is likely due to competition over shared resources, as deer and antelope fill a virtually identical ecological niche in their respective habitats. Countries like India, however, have large populations of endemic deer and antelope, with the different species generally keeping to their own ""niches"" with minimal overlap.
Unlike deer, in which the males sport elaborate head antlers that are shed and regrown annually, antelope horns are bone and grow steadily, never falling off. If a horn is broken, it will either remain broken or take years to partially regenerate, depending on the species of the antelope.
The English word ""antelope"" first appeared in 1417 and is derived from the Old French antelop, itself derived from Medieval Latin ant(h)alopus, which in turn comes from the Byzantine Greek word ἀνθόλοψ, anthólops, first attested in Eustathius of Antioch (c. 336), according to whom it was a fabulous animal ""haunting the banks of the Euphrates, very savage, hard to catch and having long, saw-like horns capable of cutting down trees"". It perhaps derives from Greek ἀνθος, anthos (flower) and ώψ, ops (eye), perhaps meaning ""beautiful eye"" or alluding to the animals' long eyelashes. This, however, may be a folk etymology in Greek based on some earlier root. The word talopus and calopus, from Latin, came to be used in heraldry. In 1607, it was first used for living, cervine animals .
There are 91 antelope species, most of which are native to Africa, occur in about 30 genera. The classification of tribes or subfamilies within Bovoidea is still a matter of debate, with several alternative systems proposed.
Antelope are not a cladistic or taxonomically defined group. The term is used to describe all members of the family Bovidae that do not fall under the category of sheep, cattle, or goats. Usually, all species of the Antilopinae, Hippotraginae, Reduncinae, Cephalophinae, many Bovinae, the grey rhebok, and the impala are called antelope.",Antelope
"Armadillos (Spanish for 'little armored ones') are New World placental mammals in the order Cingulata. They form part of the superorder Xenarthra, along with the anteaters and sloths. 21 extant species of armadillo have been described, some of which are distinguished by the number of bands on their armor. All species are native to the Americas, where they inhabit a variety of environments.
Living armadillos are characterized by a leathery armor shell and long, sharp claws for digging. They have short legs, but can move quite quickly. The average length of an armadillo is about 75 cm (30 in), including its tail. The giant armadillo grows up to 150 cm (59 in) and weighs up to 54 kg (119 lb), while the pink fairy armadillo has a length of only 13–15 cm (5–6 in). When threatened by a predator, Tolypeutes species frequently roll up into a ball; they are the only species of armadillo capable of this.
Recent genetic research has shown that the megafaunal glyptodonts (up to 1.5 metres (4.9 ft) tall with maximum body masses of around 2 tonnes), which became extinct around 12,000 years ago are true armadillos more closely related to all other living armadillos than to Dasypus (the long-nosed or naked-tailed armadillos). Armadillos are currently classified into two families, Dasypodidae, with Dasypus as the only living genus, and Chlamyphoridae, which contains all other living armadillos as well as the glyptodonts.
The word armadillo means 'little armored one' in Spanish; it is derived from armadura 'armor', with the diminutive suffix -illo attached. While the phrase little armored one would translate to armadito normally, the suffix -illo can be used in place of -ito when the diminutive is used in an approximative tense. The Aztecs called them āyōtōchtli , Nahuatl for 'turtle-rabbit': āyōtl 'turtle' and tōchtli 'rabbit'. The Portuguese word for 'armadillo' is tatu which is derived from the Tupi language ta' 'bark, armor' and tu 'dense'; and used in Argentina, Bolivia, Brazil, Paraguay and Uruguay; similar names are also found in other, especially European, languages.
Nine-banded armadillo or long-nosed armadillo, Dasypus novemcinctus
Seven-banded armadillo, Dasypus septemcinctus
Southern long-nosed armadillo, Dasypus hybridus",Armadillo
"Baboons are primates comprising the genus Papio, one of the 23 genera of Old World monkeys, in the family Cercopithecidae. There are six species of baboon: the hamadryas baboon, the Guinea baboon, the olive baboon, the yellow baboon, the Kinda baboon and the chacma baboon. Each species is native to one of six areas of Africa and the hamadryas baboon is also native to part of the Arabian Peninsula. Baboons are among the largest non-hominoid primates and have existed for at least two million years.
Baboons vary in size and weight depending on the species. The smallest, the Kinda baboon, is 50 cm (20 in) in length and weighs only 14 kg (31 lb), while the largest, the chacma baboon, is up to 120 cm (47 in) in length and weighs 40 kg (88 lb). All baboons have long, dog-like muzzles, heavy, powerful jaws with sharp canine teeth, close-set eyes, thick fur except on their muzzles, short tails, and nerveless, hairless pads of skin on their protruding buttocks called ischial callosities that provide for sitting comfort. Male hamadryas baboons have large white manes. Baboons exhibit sexual dimorphism in size, colour and/or canine teeth development.
Baboons are diurnal and terrestrial, but sleep in trees, or on high cliffs or rocks at night, away from predators. They are found in open savannas and woodlands across Africa. They are omnivorous and their diet consists of a variety of plants and animals. Their principal predators are Nile crocodiles, leopards, lions and hyenas. Most baboons live in hierarchical troops containing harems. Baboons can determine from vocal exchanges what the dominance relations are between individuals.
In general, each male can mate with any female; the mating order among the males depends partly on their social rank. Females typically give birth after a six-month gestation, usually to one infant. The females tend to be the primary caretaker of the young, although several females may share the duties for all of their offspring. Offspring are weaned after about a year. They reach sexual maturity around five to eight years. Males leave their birth group, usually before they reach sexual maturity, whereas most females stay in the same group for their lives. Baboons in captivity live up to 45 years, while in the wild they average between 20 and 30 years.
Previously five species of baboon were recognised; the Kinda baboon has gained support for its species status after phylogenetic studies of all members of Papio.
Many authors distinguish P. hamadryas as a full species, but regard all the others as subspecies of P. cynocephalus and refer to them collectively as ""savanna baboons"". This may not be helpful: it is based on the argument that the hamadryas baboon is behaviorally and physically distinct from other baboon species, and that this reflects a separate evolutionary history. However, recent morphological and genetic studies of Papio show the hamadryas baboon to be more closely related to the northern baboon species (the Guinea and olive baboons) than to the southern species (the yellow and chacma baboons).
In 2015 researchers found the oldest baboon fossil on record, dated at 2 million years old.",Baboon
"Badgers are medium-sized short-legged omnivores in the superfamily Musteloidea. Badgers are a polyphyletic rather than a natural taxonomic grouping, being united by their squat bodies and adaptions for fossorial activity rather than by their ancestral relationships: Musteloidea contains several families, only two of which (the ""weasel family"" Mustelidae and the ""skunk family"" Mephitidae) include badgers; moreover, both of these families also include various other animals that are not badgers.
The fifteen species of mustelid badgers are grouped in four subfamilies: four species of Melinae (genera Meles and Arctonyx) including the European badger, five species of Helictidinae (genus Melogale) or ferret-badger, the honey badger or ratel Mellivorinae (genus Mellivora), and the American badger Taxideinae (genus Taxidea). Badgers include the most basal mustelids; the American badger is the most basal of all, followed successively by the ratel and the Melinae; the estimated split dates are about 17.8, 15.5 and 14.8 million years ago, respectively.
The two species of Asiatic stink badgers of the genus Mydaus were formerly included within Melinae (and thus Mustelidae), but more recent genetic evidence indicates these are actually members of the skunk family (Mephitidae).
Badger mandibular condyles connect to long cavities in their skulls, which gives resistance to jaw dislocation and increases their bite grip strength. This in turn limits jaw movement to hinging open and shut, or sliding from side to side, but it does not hamper the twisting movement possible for the jaws of most mammals.
Badgers have rather short, wide bodies, with short legs for digging. They have elongated, weasel-like heads with small ears. Their tails vary in length depending on species; the stink badger has a very short tail, while the ferret-badger's tail can be 46–51 cm (18–20 in) long, depending on age. They have black faces with distinctive white markings, grey bodies with a light-coloured stripe from head to tail, and dark legs with light-coloured underbellies. They grow to around 90 cm (35 in) in length, including tail.
The European badger is one of the largest; the American badger, the hog badger, and the honey badger are generally a little smaller and lighter. Stink badgers are smaller still, and ferret-badgers are the smallest of all. They weigh around 9–11 kg (20–24 lb), while some Eurasian badgers weigh around 18 kg (40 lb).
The word ""badger"", originally applied to the European badger (Meles meles), comes from earlier bageard (16th century), presumably referring to the white mark borne like a badge on its forehead. Similarly, a now archaic synonym was bauson 'badger' (1375), a variant of bausond 'striped, piebald', from Old French bausant, baucent 'id.'.",Badger
"The bald eagle (Haliaeetus leucocephalus) is a bird of prey found in North America. A sea eagle, it has two known subspecies and forms a species pair with the white-tailed eagle (Haliaeetus albicilla), which occupies the same niche as the bald eagle in the Palearctic. Its range includes most of Canada and Alaska, all of the contiguous United States, and northern Mexico. It is found near large bodies of open water with an abundant food supply and old-growth trees for nesting.
The bald eagle is an opportunistic feeder which subsists mainly on fish, which it swoops down upon and snatches from the water with its talons. It builds the largest nest of any North American bird and the largest tree nests ever recorded for any animal species, up to 4 m (13 ft) deep, 2.5 m (8.2 ft) wide, and 1 metric ton (1.1 short tons) in weight. Sexual maturity is attained at the age of four to five years.
Bald eagles are not bald; the name derives from an older meaning of the word, ""white-headed"". The adult is mainly brown with a white head and tail. The sexes are identical in plumage, but females are about 25 percent larger than males. The yellow beak is large and hooked. The plumage of the immature is brown.
The bald eagle is the national symbol of the United States and appears on its seal. In the late 20th century it was on the brink of extirpation in the contiguous United States, but measures such as banning the practice of hunting bald eagles and banning the use of the harmful pesticide DDT slowed the decline of their population. Populations have since recovered, and the species' status was upgraded from ""endangered"" to ""threatened"" in 1995 and removed from the list altogether in 2007. In 2024 the bald eagle was officially made the national bird of the United States.
The bald eagle is placed in the genus Haliaeetus (sea eagles), and gets both its common and specific scientific names from the distinctive appearance of the adult's head. Bald in the English name is from an older usage meaning ""having white on the face or head"" rather than ""hairless"", referring to the white head feathers contrasting with the darker body.
The bald eagle was one of the many species originally described by Carl Linnaeus in his 18th-century work Systema Naturae, under the name Falco leucocephalus.
The bald eagle forms a species pair with the white-tailed eagle of Eurasia. This species pair consists of a white-headed and a tan-headed species of roughly equal size; the white-tailed eagle also has overall somewhat paler brown body plumage. The two species fill the same ecological niche in their respective ranges. The pair diverged from other sea eagles at the beginning of the Early Miocene (c. 10 Ma BP) at the latest, but possibly as early as the Early/Middle Oligocene, 28 Ma BP, if the most ancient fossil record is correctly assigned to this genus.",Bald eagle
"Bats are flying mammals of the order Chiroptera (). With their forelimbs adapted as wings, they are the only mammals capable of true and sustained flight. Bats are more agile in flight than most birds, flying with their very long spread-out digits covered with a thin membrane or patagium. The smallest bat, and arguably the smallest extant mammal, is Kitti's hog-nosed bat, which is 29–34 mm (1.1–1.3 in) in length, 150 mm (5.9 in) across the wings and 2–2.6 g (0.071–0.092 oz) in mass. The largest bats are the flying foxes, with the giant golden-crowned flying fox (Acerodon jubatus) reaching a weight of 1.6 kg (3.5 lb) and having a wingspan of 1.7 m (5 ft 7 in).
The second largest order of mammals after rodents, bats comprise about 20% of all classified mammal species worldwide, with over 1,400 species. These were traditionally divided into two suborders: the largely fruit-eating megabats, and the echolocating microbats. But more recent evidence has supported dividing the order into Yinpterochiroptera and Yangochiroptera, with megabats as members of the former along with several species of microbats. Many bats are insectivores, and most of the rest are frugivores (fruit-eaters) or nectarivores (nectar-eaters). A few species feed on animals other than insects; for example, the vampire bats feed on blood. Most bats are nocturnal, and many roost in caves or other refuges; it is uncertain whether bats have these behaviours to escape predators. Bats are present throughout the world, with the exception of extremely cold regions. They are important in their ecosystems for pollinating flowers and dispersing seeds; many tropical plants depend entirely on bats for these services.
Bats provide humans with some direct benefits, at the cost of some disadvantages. Bat dung has been mined as guano from caves and used as fertiliser. Bats consume insect pests, reducing the need for pesticides and other insect management measures. Some bats are also predators of mosquitoes, suppressing the transmission of mosquito-borne diseases. Bats are sometimes numerous enough and close enough to human settlements to serve as tourist attractions, and they are used as food across Asia and the Pacific Rim. However, fruit bats are frequently considered pests by fruit growers. Due to their physiology, bats are one type of animal that acts as a natural reservoir of many pathogens, such as rabies; and since they are highly mobile, social, and long-lived, they can readily spread disease among themselves. If humans interact with bats, these traits become potentially dangerous to humans.
Depending on the culture, bats may be symbolically associated with positive traits, such as protection from certain diseases or risks, rebirth, or long life, but in the West, bats are popularly associated with darkness, malevolence, witchcraft, vampires, and death.
An older English name for bats is flittermouse, which matches their name in other Germanic languages (for example German Fledermaus and Swedish fladdermus), related to the fluttering of wings. Middle English had bakke, most likely cognate with Old Swedish natbakka ('night-bat'), which may have undergone a shift from -k- to -t- (to Modern English bat) influenced by Latin blatta, 'moth, nocturnal insect'. The word bat was probably first used in the early 1570s. The name Chiroptera derives from Ancient Greek: χείρ – kheír, 'hand' and πτερόν – pterón, 'wing'.
The delicate skeletons of bats do not fossilise well; it is estimated that only 12% of bat genera that lived have been found in the fossil record. Most of the oldest known bat fossils were already very similar to modern microbats, such as Archaeopteropus (32 million years ago). The oldest known bat fossils include Archaeonycteris praecursor and Altaynycteris aurora (55–56 million years ago), both known only from isolated teeth. The oldest complete bat skeleton is Icaronycteris gunnelli (52 million years ago), known from two skeletons discovered in Wyoming. The extinct bats Palaeochiropteryx tupaiodon and Hassianycteris kumari, both of which lived 48 million years ago, are the first fossil mammals whose colouration has been discovered: both were reddish-brown.
Bats were formerly grouped in the superorder Archonta, along with the treeshrews (Scandentia), colugos (Dermoptera), and primates. Modern genetic evidence now places bats in the superorder Laurasiatheria, with its sister taxon as Ferungulata, which includes carnivorans, pangolins, odd-toed ungulates, and even-toed ungulates. One study places Chiroptera as a sister taxon to odd-toed ungulates (Perissodactyla).",Bat
